id_empleado,nombre_completo,fecha_inicio,genero,edad,discapacidad,etnia,attrition,fecha_renuncia
51,"Enríquez, Leocadia",2019-02-11,varon,56,0,blanco,1,2022-07-18
52,"Pujol, Cristian",1998-03-19,varon,61,0,afrodescendiente,1,2000-11-04
53,"Aguilar, Marcos",2006-12-23,mujer,59,0,latino,1,2010-12-04
54,"Querol, Bernabé",2024-06-01,mujer,44,0,indio,1,2026-04-03
55,"Agustí, Anastasia",1985-08-25,varon,19,0,griego,1,1986-10-20
56,"Amor, Vicente",2008-12-07,varon,68,0,latino,1,2013-04-13
57,"Llorens, Xavier",1983-05-05,varon,23,0,asiatico,0,
58,"Escolano, Modesto",2004-04-01,varon,21,0,blanco,1,2006-09-19
59,"Cabrera, Ernesto",1992-01-26,varon,26,0,afrodescendiente,1,1994-05-10
60,"Checa, Cándida",2011-05-23,mujer,27,0,asiatico,0,
61,"Company, Patricia",1995-08-06,varon,22,0,blanco,1,1996-11-14
62,"Portero, Pío",2019-08-15,varon,43,0,latino,0,
63,"Sola, Evita",2005-11-15,varon,69,0,griego,1,2010-04-20
64,"Luna, Chita",1994-08-30,mujer,63,0,griego,1,1999-03-11
65,"Gilabert, Vito",1992-03-11,mujer,47,0,latino,0,
66,"Palomo, Maite",2010-09-29,mujer,28,0,blanco,0,
67,"Reguera, Merche",1982-06-03,mujer,43,0,indio,1,1984-02-20
68,"Mateos, María Dolores",2016-05-20,mujer,38,0,asiatico,0,
69,"Leiva, Virginia",2018-07-06,mujer,49,0,latino,1,2023-06-04
70,"Leon, Charo",2011-03-13,mujer,53,0,griego,1,2016-01-20
71,"Cuevas, María Teresa",2001-08-26,varon,26,0,asiatico,1,2002-05-05
72,"Vilaplana, Marisela",2000-05-09,mujer,19,0,blanco,0,
73,"Toledo, Leire",2014-11-23,varon,39,0,asiatico,0,
74,"Castellanos, Fabián",2004-01-07,varon,49,0,asiatico,1,2007-09-27
75,"Guardiola, Amparo",2015-09-03,varon,30,0,latino,1,2017-03-27
76,"Cardona, Florinda",2001-05-25,varon,55,0,griego,1,2003-04-03
77,"Beltran, Chuy",1981-07-19,mujer,22,0,afrodescendiente,1,1984-05-18
78,"Garmendia, Gema",1985-07-07,otros,42,0,afrodescendiente,1,1989-11-02
79,"Daza, Porfirio",1981-04-26,varon,42,0,griego,1,1984-07-03
80,"Reig, Nazaret",2021-07-10,mujer,68,0,latino,1,2024-07-30
81,"Benavente, Samu",2004-11-05,mujer,61,0,asiatico,0,
82,"Carranza, Luis Ángel",2003-05-11,mujer,54,0,blanco,0,
83,"Román, Agustina",2011-07-14,mujer,45,0,griego,1,2012-11-27
84,"Matas, Sigfrido",2006-02-15,mujer,31,0,blanco,1,2006-09-20
85,"Cabanillas, Onofre",2024-12-17,varon,35,0,afrodescendiente,0,
86,"Guardia, Cintia",1995-01-15,mujer,26,0,asiatico,1,2000-06-24
87,"Alfaro, Agapito",2012-07-07,mujer,31,0,asiatico,0,
88,"Garcia, Eugenio",2023-07-26,varon,50,0,griego,0,
89,"Águila, Marianela",2007-09-25,otros,32,0,asiatico,1,2011-01-11
90,"Nogueira, Tere",1998-06-26,mujer,29,0,griego,1,2003-08-01
91,"Benavente, Zaira",1981-06-04,varon,64,0,griego,0,
92,"Escribano, Jacobo",2011-01-24,varon,47,0,griego,1,2013-06-18
93,"Márquez, María Carmen",2018-03-30,varon,55,0,indio,1,2019-05-28
94,"Cantero, Norberto",2003-04-10,varon,66,0,afrodescendiente,0,
95,"Iglesia, Consuela",1991-06-23,mujer,54,0,asiatico,0,
96,"Lerma, Gracia",2017-01-25,varon,45,0,latino,0,
97,"Madrigal, Rafael",1987-04-21,mujer,25,0,asiatico,1,1987-12-02
98,"Alarcón, Eloísa",2002-02-03,mujer,53,0,asiatico,1,2003-05-14
99,"Costa, Porfirio",1983-12-18,mujer,36,0,indio,0,
100,"Bernad, Maricruz",2009-06-17,mujer,55,0,blanco,1,2011-09-19
101,"Saldaña, Godofredo",1998-11-17,varon,44,0,latino,1,2000-12-10
102,"Pulido, Benjamín",1997-11-22,mujer,38,0,latino,0,
103,"Castelló, Cruz",2021-03-28,varon,48,0,latino,1,2025-07-23
104,"Galan, María",1989-10-29,varon,19,0,griego,1,1991-09-01
105,"Lerma, Íñigo",2005-07-30,varon,57,0,blanco,1,2007-10-11
106,"Rios, Jordana",2024-10-17,mujer,65,0,latino,1,2028-05-27
107,"Leal, Pascuala",1981-05-20,otros,54,0,afrodescendiente,0,
108,"Sandoval, Hector",1995-06-16,varon,48,0,afrodescendiente,0,
109,"Cabanillas, Amor",2022-08-23,mujer,46,0,asiatico,1,2024-07-10
110,"Villalba, Obdulia",1994-06-10,mujer,56,0,afrodescendiente,0,
111,"Trujillo, Marc",2020-11-08,mujer,68,0,indio,1,2025-01-29
112,"Llamas, Chita",1994-06-05,mujer,37,0,blanco,1,1999-03-01
113,"Marco, Desiderio",1982-10-30,otros,36,0,latino,1,1986-11-01
114,"Madrid, Glauco",1995-06-13,varon,26,0,griego,1,1997-12-08
115,"Montserrat, Lucas",1997-05-08,varon,53,0,asiatico,0,
116,"Ferrando, Severo",1993-10-20,varon,65,0,indio,1,1999-01-16
117,"Arrieta, Eusebia",2024-06-02,otros,32,0,afrodescendiente,1,2024-12-26
118,"Villegas, Fulgencio",1998-12-09,varon,18,0,afrodescendiente,0,
119,"Colomer, Apolinar",2020-09-05,otros,57,0,latino,1,2022-08-28
120,"Martorell, Roldán",2007-01-09,mujer,21,0,indio,1,2010-07-06
121,"Lucas, Amaya",1998-08-19,varon,42,0,griego,0,
122,"Palomares, Pastor",1992-09-25,mujer,61,0,indio,1,1993-09-24
123,"Rodriguez, Toni",2016-10-05,otros,23,0,griego,1,2021-01-25
124,"Pedrosa, Amador",2008-05-24,mujer,24,0,latino,1,2012-04-14
125,"Puerta, Gustavo",1994-06-01,mujer,64,0,blanco,0,
126,"Hoyos, Javier",2019-10-20,mujer,44,0,indio,0,
127,"Palomo, Griselda",1998-05-11,mujer,26,0,blanco,1,2003-03-04
128,"Andres, Eulalia",1988-10-11,otros,62,0,afrodescendiente,0,
129,"Ayllón, Roberto",2014-03-03,mujer,62,0,indio,1,2019-01-09
130,"Fernández, Valentín",1984-04-18,mujer,68,0,griego,1,1986-08-05
131,"Oliver, Jaime",1990-12-22,varon,51,0,latino,1,1994-10-31
132,"Donoso, Amelia",2005-12-22,mujer,19,0,latino,1,2006-11-10
133,"Rosell, María Manuela",2012-12-10,mujer,26,0,afrodescendiente,1,2014-07-04
134,"Diego, Samanta",2020-11-08,varon,40,0,asiatico,1,2021-08-15
135,"Mascaró, Osvaldo",1996-07-10,mujer,63,0,blanco,0,
136,"Salvador, Estrella",2011-06-18,mujer,25,0,blanco,1,2012-06-02
137,"Albero, Bartolomé",2014-10-20,varon,51,0,indio,1,2016-05-21
138,"Mora, Jessica",2001-06-03,mujer,38,0,blanco,1,2005-08-30
139,"Ibarra, Inés",2014-08-16,mujer,41,0,blanco,0,
140,"Hoz, Ángel",2006-06-13,mujer,35,0,afrodescendiente,1,2007-02-08
141,"Crespo, Custodio",2006-08-12,varon,53,0,blanco,1,2011-11-24
142,"Pastor, Emigdio",2018-08-01,varon,31,0,latino,1,2019-03-23
143,"Monreal, Toño",2000-02-11,mujer,44,0,blanco,0,
144,"Casanovas, Aroa",2025-02-19,varon,33,0,latino,0,
145,"Múgica, Guiomar",2015-01-09,otros,40,0,latino,1,2017-06-30
146,"Peralta, Ruperto",2013-05-01,mujer,52,0,indio,1,2015-08-11
147,"Pino, Ambrosio",1994-10-05,mujer,20,0,asiatico,0,
148,"Reig, Maricruz",1992-02-24,mujer,46,0,latino,0,
149,"Montero, Vinicio",1991-05-27,mujer,68,0,afrodescendiente,0,
150,"Plaza, Román",1982-02-06,varon,25,0,griego,1,1985-06-02
151,"Bello, Clarisa",1999-07-25,mujer,20,0,afrodescendiente,1,2001-09-20
152,"Garcia, Leonor",2013-02-10,varon,68,0,blanco,1,2014-01-23
153,"Bru, Rafael",2025-01-26,mujer,49,0,blanco,1,2030-05-08
154,"Azcona, Adela",1996-05-14,varon,31,0,afrodescendiente,0,
155,"Cantón, Victoria",2015-02-25,otros,35,0,latino,1,2018-01-20
156,"Ropero, Aureliano",2013-08-16,mujer,51,0,afrodescendiente,1,2014-08-14
157,"Sobrino, Ruperta",1987-04-19,mujer,34,0,afrodescendiente,0,
158,"Adán, Delfina",1987-02-21,varon,64,0,asiatico,0,
159,"Menéndez, Adelaida",2023-09-28,mujer,65,0,afrodescendiente,1,2025-06-22
160,"Palmer, Yésica",1981-01-26,varon,59,0,asiatico,0,
161,"Vara, Adelardo",2006-11-30,mujer,59,0,asiatico,0,
162,"Goicoechea, Ximena",1981-05-04,varon,46,0,griego,0,
163,"Francisco, Carmelo",2004-10-17,varon,62,0,afrodescendiente,1,2009-08-08
164,"Sola, Encarnación",2001-04-16,varon,33,0,indio,1,2006-07-30
165,"Figueras, Jacinto",2023-03-30,varon,18,0,afrodescendiente,1,2025-04-09
166,"Peñalver, Aurora",2018-09-10,varon,34,0,afrodescendiente,1,2020-01-12
167,"Múñiz, Mónica",1989-01-02,varon,31,0,blanco,0,
168,"Yuste, Ángel",2001-01-23,mujer,53,0,latino,0,
169,"Diego, Salomón",1983-07-01,mujer,60,0,latino,1,1988-07-05
170,"Mur, Berta",1987-05-02,varon,27,0,indio,1,1988-09-20
171,"Plana, Óscar",2010-01-30,otros,62,0,asiatico,0,
172,"Tejada, Pastor",1982-09-02,mujer,23,0,indio,1,1987-07-07
173,"Borrego, Sergio",2020-12-23,mujer,58,0,latino,1,2022-01-13
174,"Maldonado, Teresita",2022-11-02,otros,56,0,griego,1,2025-01-14
175,"Morante, Custodio",1988-07-17,mujer,57,0,afrodescendiente,1,1991-08-11
176,"Figueras, Custodio",2024-02-14,otros,19,0,afrodescendiente,0,
177,"Castrillo, Lalo",1988-04-01,mujer,18,0,indio,0,
178,"Casals, Amaro",2010-04-25,mujer,63,0,indio,0,
179,"Pou, Adelina",2009-11-16,varon,34,0,griego,1,2010-06-10
180,"Huertas, Edgardo",1992-04-12,mujer,42,0,blanco,1,1996-07-25
181,"Simó, Blas",1988-04-24,mujer,46,0,indio,1,1989-10-14
182,"Sáez, Elvira",2021-02-02,varon,52,0,griego,0,
183,"Cases, Edelmira",2002-05-25,mujer,22,0,afrodescendiente,0,
184,"Uriarte, América",1985-09-16,varon,44,0,blanco,0,
185,"Galindo, Hortensia",1981-10-29,varon,42,0,griego,1,1983-08-31
186,"Herrero, Lucho",2009-03-17,mujer,32,0,latino,1,2010-04-26
187,"Costa, Matías",1983-11-29,mujer,35,0,indio,1,1986-08-13
188,"Perea, Fabiola",1984-06-12,mujer,64,0,afrodescendiente,0,
189,"Grande, Elvira",1982-01-24,mujer,43,0,griego,1,1985-02-03
190,"Sánchez, Francisca",1986-03-05,mujer,19,0,latino,1,1990-05-07
191,"Quesada, Eva María",2011-09-04,varon,32,0,indio,1,2014-09-10
192,"Alvarado, Pepita",2009-08-03,varon,22,0,asiatico,1,2013-05-27
193,"Carrasco, Concepción",1991-08-28,varon,58,0,latino,0,
194,"Romero, Nacho",1999-07-21,mujer,58,0,afrodescendiente,0,
195,"Juárez, Chita",1997-05-06,otros,37,0,asiatico,1,1998-03-03
196,"Boada, Luisa",1982-01-02,mujer,21,0,griego,1,1984-09-19
197,"Asensio, Cleto",2023-05-17,mujer,49,0,indio,1,2026-07-24
198,"Arellano, Rafael",2024-05-19,varon,18,0,blanco,1,2026-03-18
199,"Olivé, Mateo",2011-12-15,varon,55,0,blanco,0,
200,"Pinedo, Dani",2021-02-24,varon,55,0,indio,1,2022-05-06
201,"Blázquez, Oriana",1986-12-09,mujer,60,0,latino,1,1988-02-09
202,"Iniesta, Eliana",2001-05-08,varon,36,0,afrodescendiente,0,
203,"Martí, Juan Pablo",2009-12-26,varon,40,0,blanco,0,
204,"Talavera, Macaria",1998-10-10,varon,56,0,indio,1,2000-10-20
205,"Páez, Marisela",1981-09-16,mujer,46,0,asiatico,0,
206,"Taboada, Eladio",2017-06-29,mujer,28,0,indio,1,2022-02-12
207,"Murillo, Espiridión",2015-06-03,mujer,64,0,indio,1,2016-07-03
208,"Tomé, María Manuela",1996-06-22,mujer,23,0,blanco,1,1999-02-28
209,"Sevillano, Perla",2022-11-25,mujer,30,0,afrodescendiente,1,2024-03-18
210,"Pedrero, Emilio",2000-01-22,varon,20,0,latino,1,2000-09-13
211,"Villaverde, Jose Manuel",2001-03-04,mujer,56,0,asiatico,0,
212,"Royo, Evelia",1991-08-04,otros,35,0,latino,0,
213,"Álamo, Crescencia",1996-07-05,varon,38,0,blanco,0,
214,"Bejarano, Amaro",1984-12-21,mujer,49,0,griego,1,1986-01-19
215,"Solana, Arsenio",2016-11-19,varon,41,0,asiatico,1,2019-03-08
216,"Farré, Vasco",1994-07-14,otros,58,0,griego,0,
217,"Aguilera, Celestina",2016-09-22,otros,68,0,latino,0,
218,"Vera, Alfredo",1999-07-01,varon,42,0,asiatico,1,2000-07-01
219,"Valls, Juan Bautista",2018-08-17,otros,67,0,griego,1,2020-06-24
220,"Escobar, Melisa",1982-02-01,mujer,56,0,griego,0,
221,"Palacio, Salud",1998-03-15,otros,20,0,asiatico,0,
222,"Barrena, María Luisa",2008-09-13,varon,50,0,griego,0,
223,"Arana, Plácido",2020-09-14,mujer,51,0,latino,0,
224,"Hernandez, Ruperta",2018-05-30,mujer,59,0,afrodescendiente,1,2021-11-06
225,"Peiró, Irma",2007-05-19,varon,52,0,latino,1,2011-11-09
226,"Prada, Jonatan",2010-09-01,mujer,67,0,griego,1,2015-08-16
227,"Peiró, Juan Bautista",2005-12-11,mujer,37,0,blanco,0,
228,"Ródenas, Remigio",1981-09-21,varon,67,0,asiatico,0,
229,"Cuervo, Gema",1993-08-04,mujer,54,0,afrodescendiente,0,
230,"Huertas, Remedios",2002-01-24,mujer,64,0,afrodescendiente,1,2003-12-18
231,"Rosselló, Clara",2010-10-30,otros,40,0,asiatico,0,
232,"Quintanilla, Reynaldo",1991-07-29,varon,38,0,griego,0,
233,"Céspedes, Elvira",1990-12-22,varon,26,0,blanco,1,1991-07-13
234,"Roselló, Ana Belén",2015-02-12,mujer,18,0,indio,1,2018-10-16
235,"Bello, Rocío",1999-04-28,mujer,48,0,griego,1,2002-08-30
236,"Vallejo, Leandra",1991-09-08,varon,50,0,indio,1,1994-01-23
237,"Nieto, Amador",1986-01-15,mujer,30,0,blanco,0,
238,"Gelabert, Raúl",2021-07-13,mujer,40,0,afrodescendiente,1,2023-06-07
239,"Rojas, Tiburcio",1998-05-02,otros,52,0,latino,1,2000-10-13
240,"Villena, Elpidio",1995-06-20,varon,51,0,griego,0,
241,"Vilar, Albina",1993-09-14,mujer,25,0,asiatico,0,
242,"Mir, Lorena",2018-02-22,otros,18,0,latino,1,2022-02-28
243,"Viñas, Eva",2008-08-01,varon,65,0,indio,0,
244,"Isern, Felipa",2013-02-07,varon,67,0,latino,0,
245,"Márquez, Manuelita",1985-10-23,mujer,57,0,asiatico,1,1989-04-14
246,"Delgado, Darío",2000-07-12,varon,25,0,indio,1,2003-07-07
247,"Zamora, Celia",1998-09-25,mujer,51,0,asiatico,1,2003-11-19
248,"Zurita, Dora",2022-12-04,mujer,29,0,asiatico,0,
249,"Llamas, Raúl",2014-06-24,mujer,58,0,afrodescendiente,1,2015-06-19
250,"Bosch, Teodoro",1988-03-12,mujer,52,0,afrodescendiente,1,1989-11-20
251,"Lucena, Angelina",1986-07-31,otros,44,0,indio,1,1988-10-31
252,"Santamaria, Clemente",1988-04-21,mujer,51,0,afrodescendiente,1,1991-11-24
253,"Múñiz, Febe",1981-02-10,varon,69,0,indio,1,1984-05-19
254,"Real, Amarilis",2018-11-18,varon,45,0,afrodescendiente,1,2022-10-02
255,"Ramirez, Fortunato",2002-03-14,otros,62,0,griego,1,2006-09-27
256,"Carvajal, Jaime",1997-05-05,mujer,40,0,afrodescendiente,0,
257,"Fajardo, Víctor",1993-03-21,mujer,69,0,asiatico,1,1998-06-03
258,"Salmerón, Amada",2003-03-13,varon,60,0,asiatico,0,
259,"Pedrosa, Heraclio",1999-08-24,mujer,66,0,blanco,1,2000-06-04
260,"Morata, Patricio",2016-12-18,mujer,43,1,latino,1,2020-12-19
261,"Rubio, Evelia",1991-05-17,varon,44,0,asiatico,1,1995-07-07
262,"Bertrán, Otilia",2003-06-22,mujer,19,0,afrodescendiente,0,
263,"Aragón, Cecilia",2007-02-08,varon,63,0,blanco,0,
264,"Cabello, Rubén",2006-03-13,mujer,62,0,latino,1,2010-05-22
265,"Verdugo, Clarisa",2013-12-26,mujer,23,0,asiatico,1,2018-02-09
266,"Jordán, Inés",2020-01-10,otros,40,0,afrodescendiente,0,
267,"Suárez, Sigfrido",2021-10-12,mujer,62,0,griego,1,2025-07-03
268,"Arias, Pablo",2000-07-11,otros,54,0,blanco,0,
269,"Barrio, Martin",1993-08-01,mujer,47,0,indio,1,1997-06-02
270,"Garcia, Ale",1988-11-18,mujer,50,0,asiatico,1,1993-12-02
271,"Solana, Adolfo",2000-03-29,mujer,32,0,indio,1,2004-03-30
272,"Hierro, Rosa María",2006-11-13,mujer,62,0,indio,0,
273,"Bernat, Consuela",1986-06-23,mujer,33,0,asiatico,0,
274,"Heredia, Plinio",1990-11-20,mujer,21,0,latino,1,1993-03-17
275,"Calderon, Candelario",1984-12-29,mujer,32,0,indio,1,1987-05-29
276,"Chacón, Anastasia",2010-02-28,varon,55,0,blanco,0,
277,"Perelló, Rosario",2024-06-09,mujer,48,0,afrodescendiente,1,2029-07-03
278,"Ferrándiz, Clarisa",2014-01-15,mujer,62,0,latino,0,
279,"Pedrero, Begoña",1984-05-26,otros,64,0,griego,1,1987-09-24
280,"Julián, Rafael",1990-06-18,varon,19,0,griego,1,1992-11-22
281,"Badía, Abril",1987-06-09,varon,60,0,griego,1,1992-01-09
282,"Murcia, Máximo",2017-12-11,mujer,21,0,indio,1,2019-11-29
283,"Galvez, Elvira",1999-09-11,mujer,41,0,griego,0,
284,"Gaya, Agustina",1981-04-19,mujer,63,0,asiatico,1,1983-11-11
285,"Serrano, Marcos",2021-07-31,mujer,44,0,griego,1,2023-05-13
286,"Falcón, Imelda",2004-07-08,mujer,60,0,blanco,0,
287,"Isern, Magdalena",2012-04-05,varon,31,0,asiatico,1,2015-06-26
288,"Cervera, Angelita",1983-07-08,varon,51,0,griego,0,
289,"Andrés, Marisa",2015-06-30,varon,54,0,afrodescendiente,1,2020-05-14
290,"Coronado, Consuela",2003-08-24,mujer,66,0,asiatico,1,2008-05-07
291,"Cerezo, Américo",2012-04-21,mujer,51,0,latino,1,2014-03-11
292,"Marquez, Baldomero",2014-10-05,varon,62,0,latino,1,2018-09-24
293,"Romeu, Sandalio",2002-06-15,varon,19,0,griego,0,
294,"Vargas, Feliciano",1996-02-11,mujer,56,0,griego,1,2000-04-12
295,"Fábregas, Florinda",2011-03-09,varon,63,0,afrodescendiente,0,
296,"Beltran, Rosendo",2017-12-21,mujer,31,0,blanco,0,
297,"Ruano, Ximena",1991-08-31,mujer,47,0,griego,1,1996-05-25
298,"Sanz, Narciso",2020-10-30,mujer,29,0,asiatico,0,
299,"Talavera, Noemí",2016-10-07,varon,52,0,indio,1,2020-12-17
300,"Olmo, Jordi",1988-03-26,varon,52,0,griego,0,
301,"Arranz, Claudia",1996-02-10,varon,28,0,indio,1,1998-02-08
302,"Martín, Sabina",1987-05-10,varon,58,0,afrodescendiente,0,
303,"Mate, Florentino",1997-02-16,varon,55,0,afrodescendiente,1,2000-05-05
304,"Becerra, Ramiro",1989-06-23,mujer,46,0,griego,0,
305,"Noguera, Charo",2013-12-23,mujer,55,0,latino,1,2017-05-18
306,"España, Chema",2003-08-12,mujer,65,0,indio,1,2005-07-08
307,"Ponce, Julieta",2010-03-30,mujer,62,0,blanco,0,
308,"Sanabria, Jorge",2010-11-20,varon,28,0,indio,1,2012-09-20
309,"Rozas, Gabriel",1997-11-24,mujer,48,0,indio,0,
310,"Expósito, Vicenta",2005-02-07,mujer,28,0,indio,1,2008-10-08
311,"Dominguez, Catalina",2003-12-23,mujer,32,0,afrodescendiente,1,2005-11-14
312,"Arco, Águeda",1995-04-20,mujer,56,0,griego,1,2000-08-05
313,"Iglesias, Lope",2015-01-28,varon,38,0,blanco,0,
314,"Valenciano, Ricarda",1993-02-12,varon,65,0,afrodescendiente,0,
315,"Alemán, Arcelia",1987-04-08,mujer,66,0,asiatico,0,
316,"Pinto, Antonio",2017-06-29,mujer,63,0,latino,1,2022-11-21
317,"Belda, Ema",2007-07-31,mujer,55,0,indio,0,
318,"Cid, Vera",2004-02-22,mujer,59,0,blanco,0,
319,"Águila, Anita",2003-06-02,varon,44,0,indio,1,2006-10-05
320,"Caballero, María Luisa",2002-11-17,varon,59,0,indio,1,2004-02-25
321,"Nebot, Eugenio",2006-10-25,otros,65,0,latino,1,2011-08-17
322,"Collado, Baltasar",2014-01-02,varon,66,0,griego,0,
323,"Badía, Rosa María",2015-02-05,otros,34,0,latino,1,2018-09-17
324,"Estrada, Felix",2020-10-09,mujer,58,0,asiatico,1,2025-08-18
325,"Arce, Flor",1996-11-30,varon,61,0,afrodescendiente,1,2001-06-07
326,"Solana, Fabricio",1982-07-05,mujer,35,0,griego,1,1985-07-19
327,"Mesa, Miriam",1986-09-13,mujer,63,0,blanco,1,1990-04-07
328,"Ribes, Maricela",1984-07-01,mujer,64,0,blanco,1,1986-11-03
329,"Vilanova, Amelia",2020-01-20,otros,45,0,indio,1,2024-08-04
330,"Alba, Seve",1987-06-08,mujer,54,0,latino,0,
331,"Gaya, Íñigo",2000-11-21,otros,39,0,latino,1,2005-05-12
332,"Ortuño, Brunilda",1992-07-15,varon,53,0,griego,1,1998-01-04
333,"Palomino, Juan Manuel",1982-05-11,varon,18,0,asiatico,1,1983-02-27
334,"Menendez, Nadia",1989-12-13,otros,64,0,indio,1,1995-01-16
335,"Vives, Leandra",1997-04-21,varon,19,0,blanco,1,2000-05-09
336,"Ángel, Aurora",2001-09-05,varon,37,0,afrodescendiente,1,2003-03-07
337,"Saldaña, Merche",2006-12-20,mujer,34,0,blanco,1,2011-04-13
338,"Molina, Juanita",2000-04-20,mujer,42,0,latino,0,
339,"Nuñez, Soledad",2011-11-11,mujer,34,0,latino,0,
340,"Maza, Juan Bautista",1984-07-11,otros,48,0,latino,0,
341,"Salvà, Nélida",2000-04-17,mujer,58,0,blanco,0,
342,"Gomis, Eva María",1997-12-27,varon,55,0,indio,0,
343,"Granados, Mar",1985-11-22,mujer,52,0,asiatico,0,
344,"Almansa, Teófila",1987-07-26,mujer,54,0,griego,0,
345,"Gomez, Toño",1984-06-08,mujer,27,0,griego,0,
346,"Lucas, Goyo",2004-01-11,mujer,68,0,asiatico,1,2004-10-07
347,"Rosales, Haroldo",2006-10-02,mujer,55,0,griego,1,2007-05-25
348,"Flor, Elba",2014-07-29,varon,40,0,asiatico,1,2017-03-16
349,"Avilés, Félix",2007-10-29,mujer,47,0,blanco,0,
350,"Abril, Bruno",2017-03-10,mujer,25,0,indio,1,2021-05-22
351,"Solana, Venceslás",2007-09-10,varon,27,0,asiatico,1,2010-03-18
352,"Calatayud, Jenny",1994-11-22,varon,47,0,latino,1,1998-10-08
353,"Rey, Germán",2014-11-25,mujer,31,0,blanco,0,
354,"Molina, Valentín",1984-01-04,mujer,59,0,indio,1,1989-06-13
355,"Clavero, Flavia",1984-05-11,mujer,38,0,blanco,1,1985-10-19
356,"Plaza, Bernabé",1987-02-17,otros,20,0,asiatico,0,
357,"Iglesias, Lina",1984-10-03,mujer,30,0,indio,1,1987-08-24
358,"Chico, Carlos",2013-03-05,mujer,46,0,indio,1,2016-07-22
359,"Beltran, Felicidad",2011-11-09,otros,64,0,blanco,1,2012-06-26
