id_empleado,nombre_completo,fecha_inicio,genero,edad,discapacidad,etnia,attrition,fecha_renuncia,id_puesto,salario,mes,rol,departamento,seniority,tono_piel
67,"Reguera, Merche",1982-06-03,mujer,43,0,indio,1,1984-02-20,76,14250.0,2025-03-01,Training,RRHH,LEAD,6
68,"Mateos, María Dolores",2016-05-20,mujer,38,0,asiatico,0,,52,14250.0,2025-03-01,Sysadmin,IT,LEAD,4
69,"Leiva, Virginia",2018-07-06,mujer,49,0,latino,1,2023-06-04,31,7600.0,2025-03-01,Manager MKT,Marketing,SR,6
70,"Leon, Charo",2011-03-13,mujer,53,0,griego,1,2016-01-20,59,7600.0,2025-03-01,Arquitecto,IT,SR,2
71,"Cuevas, María Teresa",2001-08-26,varon,26,0,asiatico,1,2002-05-05,92,18000.0,2025-03-01,Controller,Finanzas,LEAD,2
72,"Vilaplana, Marisela",2000-05-09,mujer,19,0,blanco,0,,71,7600.0,2025-03-01,HRBP,RRHH,SR,2
73,"Toledo, Leire",2014-11-23,varon,39,0,asiatico,0,,12,15000.0,2025-03-01,Gerente,Ventas,LEAD,2
74,"Castellanos, Fabián",2004-01-07,varon,49,0,asiatico,1,2007-09-27,8,15000.0,2025-03-01,Representante,Ventas,LEAD,10
75,"Guardiola, Amparo",2015-09-03,varon,30,0,latino,1,2017-03-27,94,3600.0,2025-03-01,Tesorería,Finanzas,MID,4
76,"Cardona, Florinda",2001-05-25,varon,55,0,griego,1,2003-04-03,86,3600.0,2025-03-01,Contador,Finanzas,MID,3
77,"Beltran, Chuy",1981-07-19,mujer,22,0,afrodescendiente,1,1984-05-18,68,14250.0,2025-03-01,Recruiter,RRHH,LEAD,8
78,"Garmendia, Gema",1985-07-07,otros,42,0,afrodescendiente,1,1989-11-02,55,8000.0,2025-03-01,Soporte,IT,SR,7
79,"Daza, Porfirio",1981-04-26,varon,42,0,griego,1,1984-07-03,88,18000.0,2025-03-01,Contador,Finanzas,LEAD,2
80,"Reig, Nazaret",2021-07-10,mujer,68,0,latino,1,2024-07-30,65,950.0,2025-03-01,Recruiter,RRHH,JR,8
81,"Benavente, Samu",2004-11-05,mujer,61,0,asiatico,0,,70,2850.0,2025-03-01,HRBP,RRHH,MID,5
82,"Carranza, Luis Ángel",2003-05-11,mujer,54,0,blanco,0,,63,7600.0,2025-03-01,HR Analyst,RRHH,SR,1
83,"Román, Agustina",2011-07-14,mujer,45,0,griego,1,2012-11-27,47,7600.0,2025-03-01,Data,IT,SR,3
84,"Matas, Sigfrido",2006-02-15,mujer,31,0,blanco,1,2006-09-20,64,14250.0,2025-03-01,HR Analyst,RRHH,LEAD,3
85,"Cabanillas, Onofre",2024-12-17,varon,35,0,afrodescendiente,0,,32,15000.0,2025-03-01,Manager MKT,Marketing,LEAD,5
86,"Guardia, Cintia",1995-01-15,mujer,26,0,asiatico,1,2000-06-24,47,7600.0,2025-03-01,Data,IT,SR,8
87,"Alfaro, Agapito",2012-07-07,mujer,31,0,asiatico,0,,32,14250.0,2025-03-01,Manager MKT,Marketing,LEAD,10
88,"Garcia, Eugenio",2023-07-26,varon,50,0,griego,0,,27,8000.0,2025-03-01,Analista MKT,Marketing,SR,2
89,"Águila, Marianela",2007-09-25,otros,32,0,asiatico,1,2011-01-11,52,15000.0,2025-03-01,Sysadmin,IT,LEAD,9
90,"Nogueira, Tere",1998-06-26,mujer,29,0,griego,1,2003-08-01,64,14250.0,2025-03-01,HR Analyst,RRHH,LEAD,2
91,"Benavente, Zaira",1981-06-04,varon,64,0,griego,0,,88,18000.0,2025-03-01,Contador,Finanzas,LEAD,4
92,"Escribano, Jacobo",2011-01-24,varon,47,0,griego,1,2013-06-18,43,8000.0,2025-03-01,Dev,IT,SR,2
93,"Márquez, María Carmen",2018-03-30,varon,55,0,indio,1,2019-05-28,64,15000.0,2025-03-01,HR Analyst,RRHH,LEAD,5
94,"Cantero, Norberto",2003-04-10,varon,66,0,afrodescendiente,0,,96,18000.0,2025-03-01,Tesorería,Finanzas,LEAD,9
95,"Iglesia, Consuela",1991-06-23,mujer,54,0,asiatico,0,,24,14250.0,2025-03-01,Marketing,Marketing,LEAD,7
96,"Lerma, Gracia",2017-01-25,varon,45,0,latino,0,,95,9600.0,2025-03-01,Tesorería,Finanzas,SR,9
97,"Madrigal, Rafael",1987-04-21,mujer,25,0,asiatico,1,1987-12-02,28,14250.0,2025-03-01,Analista MKT,Marketing,LEAD,8
98,"Alarcón, Eloísa",2002-02-03,mujer,53,0,asiatico,1,2003-05-14,27,7600.0,2025-03-01,Analista MKT,Marketing,SR,1
99,"Costa, Porfirio",1983-12-18,mujer,36,0,indio,0,,72,14250.0,2025-03-01,HRBP,RRHH,LEAD,8
100,"Bernad, Maricruz",2009-06-17,mujer,55,0,blanco,1,2011-09-19,44,14250.0,2025-03-01,Dev,IT,LEAD,3
101,"Saldaña, Godofredo",1998-11-17,varon,44,0,latino,1,2000-12-10,44,15000.0,2025-03-01,Dev,IT,LEAD,11
102,"Pulido, Benjamín",1997-11-22,mujer,38,0,latino,0,,51,7600.0,2025-03-01,Sysadmin,IT,SR,3
103,"Castelló, Cruz",2021-03-28,varon,48,0,latino,1,2025-07-23,97,1200.0,2025-03-01,Finanzas Manager,Finanzas,JR,1
104,"Galan, María",1989-10-29,varon,19,0,griego,1,1991-09-01,84,18000.0,2025-03-01,Analista,Finanzas,LEAD,4
105,"Lerma, Íñigo",2005-07-30,varon,57,0,blanco,1,2007-10-11,91,9600.0,2025-03-01,Controller,Finanzas,SR,3
106,"Rios, Jordana",2024-10-17,mujer,65,0,latino,1,2028-05-27,97,1140.0,2025-03-01,Finanzas Manager,Finanzas,JR,1
107,"Leal, Pascuala",1981-05-20,otros,54,0,afrodescendiente,0,,56,15000.0,2025-03-01,Soporte,IT,LEAD,11
108,"Sandoval, Hector",1995-06-16,varon,48,0,afrodescendiente,0,,12,15000.0,2025-03-01,Gerente,Ventas,LEAD,5
109,"Cabanillas, Amor",2022-08-23,mujer,46,0,asiatico,1,2024-07-10,3,7600.0,2025-03-01,Ejecutivo,Ventas,SR,10
110,"Villalba, Obdulia",1994-06-10,mujer,56,0,afrodescendiente,0,,8,14250.0,2025-03-01,Representante,Ventas,LEAD,7
111,"Trujillo, Marc",2020-11-08,mujer,68,0,indio,1,2025-01-29,83,9120.0,2025-03-01,Analista,Finanzas,SR,6
112,"Llamas, Chita",1994-06-05,mujer,37,0,blanco,1,1999-03-01,91,9120.0,2025-03-01,Controller,Finanzas,SR,1
113,"Marco, Desiderio",1982-10-30,otros,36,0,latino,1,1986-11-01,48,15000.0,2025-03-01,Data,IT,LEAD,7
114,"Madrid, Glauco",1995-06-13,varon,26,0,griego,1,1997-12-08,80,15000.0,2025-03-01,HR Manager,RRHH,LEAD,2
115,"Montserrat, Lucas",1997-05-08,varon,53,0,asiatico,0,,64,15000.0,2025-03-01,HR Analyst,RRHH,LEAD,8
116,"Ferrando, Severo",1993-10-20,varon,65,0,indio,1,1999-01-16,66,3000.0,2025-03-01,Recruiter,RRHH,MID,8
117,"Arrieta, Eusebia",2024-06-02,otros,32,0,afrodescendiente,1,2024-12-26,46,3000.0,2025-03-01,Data,IT,MID,2
118,"Villegas, Fulgencio",1998-12-09,varon,18,0,afrodescendiente,0,,80,15000.0,2025-03-01,HR Manager,RRHH,LEAD,1
119,"Colomer, Apolinar",2020-09-05,otros,57,0,latino,1,2022-08-28,8,15000.0,2025-03-01,Representante,Ventas,LEAD,7
120,"Martorell, Roldán",2007-01-09,mujer,21,0,indio,1,2010-07-06,23,7600.0,2025-03-01,Marketing,Marketing,SR,7
121,"Lucas, Amaya",1998-08-19,varon,42,0,griego,0,,40,15000.0,2025-03-01,SEO,Marketing,LEAD,3
122,"Palomares, Pastor",1992-09-25,mujer,61,0,indio,1,1993-09-24,88,17100.0,2025-03-01,Contador,Finanzas,LEAD,8
123,"Rodriguez, Toni",2016-10-05,otros,23,0,griego,1,2021-01-25,60,15000.0,2025-03-01,Arquitecto,IT,LEAD,2
124,"Pedrosa, Amador",2008-05-24,mujer,24,0,latino,1,2012-04-14,27,7600.0,2025-03-01,Analista MKT,Marketing,SR,3
125,"Puerta, Gustavo",1994-06-01,mujer,64,0,blanco,0,,72,14250.0,2025-03-01,HRBP,RRHH,LEAD,2
126,"Hoyos, Javier",2019-10-20,mujer,44,0,indio,0,,94,3420.0,2025-03-01,Tesorería,Finanzas,MID,7
127,"Palomo, Griselda",1998-05-11,mujer,26,0,blanco,1,2003-03-04,32,14250.0,2025-03-01,Manager MKT,Marketing,LEAD,3
128,"Andres, Eulalia",1988-10-11,otros,62,0,afrodescendiente,0,,16,15000.0,2025-03-01,Analista,Ventas,LEAD,1
129,"Ayllón, Roberto",2014-03-03,mujer,62,0,indio,1,2019-01-09,19,7600.0,2025-03-01,BizDev,Ventas,SR,7
130,"Fernández, Valentín",1984-04-18,mujer,68,0,griego,1,1986-08-05,24,14250.0,2025-03-01,Marketing,Marketing,LEAD,2
131,"Oliver, Jaime",1990-12-22,varon,51,0,latino,1,1994-10-31,100,18000.0,2025-03-01,Finanzas Manager,Finanzas,LEAD,3
132,"Donoso, Amelia",2005-12-22,mujer,19,0,latino,1,2006-11-10,20,14250.0,2025-03-01,BizDev,Ventas,LEAD,1
133,"Rosell, María Manuela",2012-12-10,mujer,26,0,afrodescendiente,1,2014-07-04,41,950.0,2025-03-01,Dev,IT,JR,5
134,"Diego, Samanta",2020-11-08,varon,40,0,asiatico,1,2021-08-15,90,3600.0,2025-03-01,Controller,Finanzas,MID,10
135,"Mascaró, Osvaldo",1996-07-10,mujer,63,0,blanco,0,,64,14250.0,2025-03-01,HR Analyst,RRHH,LEAD,3
136,"Salvador, Estrella",2011-06-18,mujer,25,0,blanco,1,2012-06-02,94,3420.0,2025-03-01,Tesorería,Finanzas,MID,3
137,"Albero, Bartolomé",2014-10-20,varon,51,0,indio,1,2016-05-21,38,3000.0,2025-03-01,SEO,Marketing,MID,6
138,"Mora, Jessica",2001-06-03,mujer,38,0,blanco,1,2005-08-30,48,14250.0,2025-03-01,Data,IT,LEAD,3
139,"Ibarra, Inés",2014-08-16,mujer,41,0,blanco,0,,27,7600.0,2025-03-01,Analista MKT,Marketing,SR,3
140,"Hoz, Ángel",2006-06-13,mujer,35,0,afrodescendiente,1,2007-02-08,30,2850.0,2025-03-01,Manager MKT,Marketing,MID,9
141,"Crespo, Custodio",2006-08-12,varon,53,0,blanco,1,2011-11-24,84,18000.0,2025-03-01,Analista,Finanzas,LEAD,3
142,"Pastor, Emigdio",2018-08-01,varon,31,0,latino,1,2019-03-23,78,3000.0,2025-03-01,HR Manager,RRHH,MID,10
143,"Monreal, Toño",2000-02-11,mujer,44,0,blanco,0,,44,14250.0,2025-03-01,Dev,IT,LEAD,2
144,"Casanovas, Aroa",2025-02-19,varon,33,0,latino,0,,27,8000.0,2025-03-01,Analista MKT,Marketing,SR,3
145,"Múgica, Guiomar",2015-01-09,otros,40,0,latino,1,2017-06-30,1,1000.0,2025-03-01,Ejecutivo,Ventas,JR,7
146,"Peralta, Ruperto",2013-05-01,mujer,52,0,indio,1,2015-08-11,27,7600.0,2025-03-01,Analista MKT,Marketing,SR,5
147,"Pino, Ambrosio",1994-10-05,mujer,20,0,asiatico,0,,40,14250.0,2025-03-01,SEO,Marketing,LEAD,4
148,"Reig, Maricruz",1992-02-24,mujer,46,0,latino,0,,43,7600.0,2025-03-01,Dev,IT,SR,4
149,"Montero, Vinicio",1991-05-27,mujer,68,0,afrodescendiente,0,,27,7600.0,2025-03-01,Analista MKT,Marketing,SR,5
150,"Plaza, Román",1982-02-06,varon,25,0,griego,1,1985-06-02,28,15000.0,2025-03-01,Analista MKT,Marketing,LEAD,4
151,"Bello, Clarisa",1999-07-25,mujer,20,0,afrodescendiente,1,2001-09-20,38,2850.0,2025-03-01,SEO,Marketing,MID,7
152,"Garcia, Leonor",2013-02-10,varon,68,0,blanco,1,2014-01-23,6,3000.0,2025-03-01,Representante,Ventas,MID,1
153,"Bru, Rafael",2025-01-26,mujer,49,0,blanco,1,2030-05-08,93,1140.0,2025-03-01,Tesorería,Finanzas,JR,3
154,"Azcona, Adela",1996-05-14,varon,31,0,afrodescendiente,0,,32,15000.0,2025-03-01,Manager MKT,Marketing,LEAD,11
155,"Cantón, Victoria",2015-02-25,otros,35,0,latino,1,2018-01-20,51,8000.0,2025-03-01,Sysadmin,IT,SR,4
156,"Ropero, Aureliano",2013-08-16,mujer,51,0,afrodescendiente,1,2014-08-14,21,950.0,2025-03-01,Marketing,Marketing,JR,7
157,"Sobrino, Ruperta",1987-04-19,mujer,34,0,afrodescendiente,0,,12,14250.0,2025-03-01,Gerente,Ventas,LEAD,11
158,"Adán, Delfina",1987-02-21,varon,64,0,asiatico,0,,68,15000.0,2025-03-01,Recruiter,RRHH,LEAD,3
159,"Menéndez, Adelaida",2023-09-28,mujer,65,0,afrodescendiente,1,2025-06-22,86,3420.0,2025-03-01,Contador,Finanzas,MID,6
160,"Palmer, Yésica",1981-01-26,varon,59,0,asiatico,0,,16,15000.0,2025-03-01,Analista,Ventas,LEAD,2
161,"Vara, Adelardo",2006-11-30,mujer,59,0,asiatico,0,,23,7600.0,2025-03-01,Marketing,Marketing,SR,10
162,"Goicoechea, Ximena",1981-05-04,varon,46,0,griego,0,,96,18000.0,2025-03-01,Tesorería,Finanzas,LEAD,2
163,"Francisco, Carmelo",2004-10-17,varon,62,0,afrodescendiente,1,2009-08-08,56,15000.0,2025-03-01,Soporte,IT,LEAD,9
164,"Sola, Encarnación",2001-04-16,varon,33,0,indio,1,2006-07-30,80,15000.0,2025-03-01,HR Manager,RRHH,LEAD,5
165,"Figueras, Jacinto",2023-03-30,varon,18,0,afrodescendiente,1,2025-04-09,92,18000.0,2025-03-01,Controller,Finanzas,LEAD,6
166,"Peñalver, Aurora",2018-09-10,varon,34,0,afrodescendiente,1,2020-01-12,63,8000.0,2025-03-01,HR Analyst,RRHH,SR,4
167,"Múñiz, Mónica",1989-01-02,varon,31,0,blanco,0,,84,18000.0,2025-03-01,Analista,Finanzas,LEAD,2
168,"Yuste, Ángel",2001-01-23,mujer,53,0,latino,0,,24,14250.0,2025-03-01,Marketing,Marketing,LEAD,11
169,"Diego, Salomón",1983-07-01,mujer,60,0,latino,1,1988-07-05,40,14250.0,2025-03-01,SEO,Marketing,LEAD,10
170,"Mur, Berta",1987-05-02,varon,27,0,indio,1,1988-09-20,48,15000.0,2025-03-01,Data,IT,LEAD,7
171,"Plana, Óscar",2010-01-30,otros,62,0,asiatico,0,,54,3000.0,2025-03-01,Soporte,IT,MID,9
172,"Tejada, Pastor",1982-09-02,mujer,23,0,indio,1,1987-07-07,24,14250.0,2025-03-01,Marketing,Marketing,LEAD,7
173,"Borrego, Sergio",2020-12-23,mujer,58,0,latino,1,2022-01-13,22,2850.0,2025-03-01,Marketing,Marketing,MID,1
174,"Maldonado, Teresita",2022-11-02,otros,56,0,griego,1,2025-01-14,51,8000.0,2025-03-01,Sysadmin,IT,SR,2
175,"Morante, Custodio",1988-07-17,mujer,57,0,afrodescendiente,1,1991-08-11,7,7600.0,2025-03-01,Representante,Ventas,SR,9
176,"Figueras, Custodio",2024-02-14,otros,19,0,afrodescendiente,0,,59,8000.0,2025-03-01,Arquitecto,IT,SR,11
177,"Castrillo, Lalo",1988-04-01,mujer,18,0,indio,0,,28,14250.0,2025-03-01,Analista MKT,Marketing,LEAD,6
178,"Casals, Amaro",2010-04-25,mujer,63,0,indio,0,,16,14250.0,2025-03-01,Analista,Ventas,LEAD,5
179,"Pou, Adelina",2009-11-16,varon,34,0,griego,1,2010-06-10,1,1000.0,2025-03-01,Ejecutivo,Ventas,JR,2
180,"Huertas, Edgardo",1992-04-12,mujer,42,0,blanco,1,1996-07-25,28,14250.0,2025-03-01,Analista MKT,Marketing,LEAD,1
181,"Simó, Blas",1988-04-24,mujer,46,0,indio,1,1989-10-14,44,14250.0,2025-03-01,Dev,IT,LEAD,7
182,"Sáez, Elvira",2021-02-02,varon,52,0,griego,0,,70,3000.0,2025-03-01,HRBP,RRHH,MID,4
183,"Cases, Edelmira",2002-05-25,mujer,22,0,afrodescendiente,0,,36,14250.0,2025-03-01,Content,Marketing,LEAD,6
184,"Uriarte, América",1985-09-16,varon,44,0,blanco,0,,84,18000.0,2025-03-01,Analista,Finanzas,LEAD,3
185,"Galindo, Hortensia",1981-10-29,varon,42,0,griego,1,1983-08-31,96,18000.0,2025-03-01,Tesorería,Finanzas,LEAD,2
186,"Herrero, Lucho",2009-03-17,mujer,32,0,latino,1,2010-04-26,32,14250.0,2025-03-01,Manager MKT,Marketing,LEAD,5
187,"Costa, Matías",1983-11-29,mujer,35,0,indio,1,1986-08-13,40,14250.0,2025-03-01,SEO,Marketing,LEAD,5
188,"Perea, Fabiola",1984-06-12,mujer,64,0,afrodescendiente,0,,28,14250.0,2025-03-01,Analista MKT,Marketing,LEAD,3
189,"Grande, Elvira",1982-01-24,mujer,43,0,griego,1,1985-02-03,75,7600.0,2025-03-01,Training,RRHH,SR,3
190,"Sánchez, Francisca",1986-03-05,mujer,19,0,latino,1,1990-05-07,40,14250.0,2025-03-01,SEO,Marketing,LEAD,8
191,"Quesada, Eva María",2011-09-04,varon,32,0,indio,1,2014-09-10,40,15000.0,2025-03-01,SEO,Marketing,LEAD,7
192,"Alvarado, Pepita",2009-08-03,varon,22,0,asiatico,1,2013-05-27,8,15000.0,2025-03-01,Representante,Ventas,LEAD,11
193,"Carrasco, Concepción",1991-08-28,varon,58,0,latino,0,,96,18000.0,2025-03-01,Tesorería,Finanzas,LEAD,6
194,"Romero, Nacho",1999-07-21,mujer,58,0,afrodescendiente,0,,26,2850.0,2025-03-01,Analista MKT,Marketing,MID,8
195,"Juárez, Chita",1997-05-06,otros,37,0,asiatico,1,1998-03-03,20,15000.0,2025-03-01,BizDev,Ventas,LEAD,9
196,"Boada, Luisa",1982-01-02,mujer,21,0,griego,1,1984-09-19,4,14250.0,2025-03-01,Ejecutivo,Ventas,LEAD,2
197,"Asensio, Cleto",2023-05-17,mujer,49,0,indio,1,2026-07-24,20,14250.0,2025-03-01,BizDev,Ventas,LEAD,6
198,"Arellano, Rafael",2024-05-19,varon,18,0,blanco,1,2026-03-18,1,1000.0,2025-03-01,Ejecutivo,Ventas,JR,1
199,"Olivé, Mateo",2011-12-15,varon,55,0,blanco,0,,48,15000.0,2025-03-01,Data,IT,LEAD,2
200,"Pinedo, Dani",2021-02-24,varon,55,0,indio,1,2022-05-06,100,18000.0,2025-03-01,Finanzas Manager,Finanzas,LEAD,8
