id_empleado,nombre_completo,fecha_inicio,fecha_renuncia,genero,edad,id_puesto_laboral,discapacidad,etnia
221,"Jackson, Jamal",2006-06-24,2012-10-08,otros,64,1,0,afrodescendiente
222,"Washington, Aisha",1986-12-14,1993-04-19,otros,30,5,0,afrodescendiente
223,"Barranco, Melisa",2014-10-21,,mujer,59,19,0,latino
224,"Smith, John",1991-03-26,,otros,36,10,0,blanco
225,"Amores, Humberto",2017-07-10,,otros,64,16,0,latino
226,"Sharma, Arjun",2019-12-31,,otros,33,11,0,indio
227,"Smith, John",2008-12-31,2014-09-30,varon,45,2,0,blanco
228,"Papadopoulos, Sofia",1991-01-25,,varon,65,16,0,griego
229,"Tanaka, Hiro",1984-11-13,2019-04-12,mujer,55,9,0,asiatico
230,"Washington, Aisha",2000-05-16,2022-07-25,mujer,24,9,0,afrodescendiente
231,"Sandoval, Joel",1983-04-29,2012-10-02,otros,20,11,0,latino
232,"Báez, Eugenia",1988-12-07,2019-03-24,mujer,37,14,0,latino
233,"Li, Hiro",2017-07-06,2019-08-21,varon,33,3,0,asiatico
234,"Jackson, Aisha",1995-09-26,,mujer,68,4,0,afrodescendiente
235,"Li, Hiro",1981-03-19,,varon,20,13,0,asiatico
236,"Belda, Elpidio",2024-05-27,,otros,52,11,0,latino
237,"Brown, Emily",2020-06-16,2021-08-06,mujer,29,6,0,blanco
238,"Brown, Michael",2002-08-25,,otros,22,19,0,blanco
239,"Salmerón, Juan Francisco",1998-08-22,,otros,69,5,0,latino
240,"Tanaka, Mei",2010-07-10,2012-11-25,varon,38,10,0,asiatico
241,"Smith, Emily",2016-09-13,,otros,28,18,0,blanco
242,"Washington, Aisha",1988-08-25,1991-11-30,otros,28,2,0,afrodescendiente
243,"Pujol, Chucho",2021-06-17,2023-02-14,mujer,66,18,0,latino
244,"Patel, Rudra",1994-09-02,,otros,57,6,0,indio
245,"Brown, John",2014-08-13,2019-02-02,mujer,37,3,0,blanco
246,"Smith, John",1985-10-09,,mujer,58,9,0,blanco
247,"Sharma, Rudra",2000-08-06,2020-10-29,mujer,42,2,0,indio
248,"Tanaka, Mei",2004-08-25,,varon,60,1,0,asiatico
249,"Papadopoulos, Sofia",1991-07-26,,otros,38,14,0,griego
250,"Washington, Jamal",2024-09-08,,otros,52,16,0,afrodescendiente
251,"Cabañas, Brunilda",2023-01-23,,mujer,53,12,0,latino
252,"Barranco, Amador",2005-03-26,,mujer,58,2,0,latino
253,"Li, Mei",2003-09-13,2023-12-18,varon,58,11,0,asiatico
254,"Puig, Nerea",2013-12-25,,otros,35,13,1,latino
255,"Brown, Michael",2020-09-04,,varon,48,4,0,blanco
256,"Papadopoulos, Nikos",2015-01-30,,varon,37,9,0,griego
257,"Tanaka, Mei",2023-11-26,2023-12-01,otros,20,15,0,asiatico
258,"Papadopoulos, Nikos",2003-04-12,,varon,36,2,0,griego
259,"Patel, Arjun",2007-11-12,2022-10-12,otros,21,18,0,indio
260,"Washington, Jamal",2000-10-15,,mujer,64,20,0,afrodescendiente
261,"Tanaka, Mei",2020-08-11,,varon,60,11,1,asiatico
262,"Patel, Rudra",2005-11-26,,varon,38,9,0,indio
263,"Sharma, Arjun",2014-06-10,2014-06-19,varon,21,13,0,indio
264,"Brown, Emily",2016-08-14,2020-05-04,varon,68,18,0,blanco
265,"Jáuregui, Ernesto",1987-09-24,,varon,42,4,0,latino
266,"Washington, Aisha",2007-10-21,2013-09-22,varon,59,7,0,afrodescendiente
267,"Patel, Rudra",1988-04-18,,otros,25,18,0,indio
268,"Smith, Emily",1980-12-20,,mujer,31,1,0,blanco
269,"Sharma, Rudra",2014-01-17,2023-09-01,otros,21,9,0,indio
270,"Tanaka, Mei",2001-11-14,,varon,43,9,0,asiatico
271,"Papadopoulos, Nikos",2019-07-20,,otros,43,6,1,griego
272,"Li, Mei",1985-06-16,2008-02-14,otros,25,12,0,asiatico
273,"Smith, Emily",1981-09-25,,otros,23,4,0,blanco
274,"Millán, Vito",1995-01-31,,mujer,52,6,0,latino
275,"Papadopoulos, Sofia",2012-07-23,,otros,34,9,0,griego
276,"Jackson, Aisha",1981-02-07,,varon,60,11,0,afrodescendiente
277,"Li, Hiro",2014-02-26,2020-04-25,otros,67,7,0,asiatico
278,"Li, Hiro",2002-12-10,,otros,59,7,0,asiatico
279,"Patel, Rudra",2007-07-20,2007-08-15,otros,53,10,0,indio
280,"Li, Mei",1984-06-16,2005-08-20,mujer,49,8,0,asiatico
281,"Marín, Fabián",1982-12-14,,varon,25,15,0,latino
282,"Patel, Rudra",1985-12-24,,varon,47,17,0,indio
283,"Papadopoulos, Sofia",2015-01-07,,varon,56,12,0,griego
284,"Li, Hiro",2018-05-11,,mujer,50,16,0,asiatico
285,"Smith, Emily",1989-06-21,,varon,59,5,0,blanco
286,"Mínguez, Emperatriz",1986-06-27,,varon,55,3,0,latino
287,"Tanaka, Mei",2015-05-04,,otros,22,5,0,asiatico
288,"Washington, Aisha",2024-10-11,,mujer,33,1,0,afrodescendiente
289,"Tanaka, Hiro",1985-10-04,2013-04-12,mujer,65,15,0,asiatico
290,"Smith, Emily",2016-10-15,,varon,67,10,0,blanco
291,"Clavero, Marcial",1990-01-19,,varon,64,4,0,latino
292,"Rozas, Moreno",2011-06-23,2025-02-16,mujer,34,12,1,latino
293,"Tanaka, Hiro",2011-05-12,2020-12-10,otros,50,1,0,asiatico
294,"Washington, Jamal",2006-11-13,,varon,22,18,0,afrodescendiente
295,"Sharma, Rudra",2004-03-19,,otros,48,20,0,indio
296,"Brown, Emily",1990-12-19,,mujer,46,2,0,blanco
297,"Brown, Michael",2024-07-26,,varon,27,20,0,blanco
298,"Papadopoulos, Sofia",1984-07-20,,varon,68,15,0,griego
299,"Tanaka, Mei",2006-09-29,2016-01-16,mujer,21,6,0,asiatico
300,"Patel, Arjun",2008-03-26,2018-02-05,varon,36,17,0,indio
301,"Benitez, Carmelo",2022-09-04,2023-03-26,mujer,38,13,0,latino
302,"Tanaka, Mei",2017-03-21,,mujer,46,18,0,asiatico
303,"Fuentes, Dora",2012-12-24,2013-04-29,mujer,39,1,0,latino
304,"Papadopoulos, Nikos",1987-11-29,1996-05-10,mujer,42,7,0,griego
305,"Jackson, Aisha",2007-03-19,2018-01-13,varon,64,3,0,afrodescendiente
306,"Li, Hiro",1996-02-19,,varon,48,1,0,asiatico
307,"Jackson, Aisha",2014-12-13,,otros,64,1,0,afrodescendiente
308,"Brown, Michael",1986-07-18,,otros,43,14,0,blanco
309,"Papadopoulos, Nikos",1997-08-16,,varon,56,8,0,griego
310,"Jackson, Aisha",1988-09-27,,otros,38,7,0,afrodescendiente
311,"Jackson, Aisha",2015-01-21,2021-09-07,varon,57,4,0,afrodescendiente
312,"Esteve, Isaac",1993-11-30,,otros,66,9,0,latino
313,"Tanaka, Hiro",2015-01-22,,otros,41,12,0,asiatico
314,"Brown, John",1987-12-11,,otros,18,13,0,blanco
315,"Patel, Rudra",2024-11-28,,otros,48,10,0,indio
316,"Washington, Aisha",2020-06-29,,otros,44,3,0,afrodescendiente
317,"Sharma, Rudra",2017-02-09,,varon,54,10,0,indio
318,"Li, Hiro",1991-12-31,,otros,53,3,0,asiatico
319,"Patel, Rudra",2005-03-25,,varon,25,19,0,indio
320,"Li, Hiro",2013-02-01,2022-12-19,varon,49,8,0,asiatico
321,"Roda, Cándido",2008-06-27,,otros,69,18,0,latino
322,"Papadopoulos, Sofia",2023-11-19,2024-08-15,otros,30,5,0,griego
323,"Sharma, Arjun",2024-12-02,,varon,63,18,0,indio
324,"Smith, John",2020-02-04,,mujer,63,13,0,blanco
325,"Washington, Aisha",1995-01-28,2015-05-09,mujer,66,2,0,afrodescendiente
326,"Papadopoulos, Sofia",2023-01-15,2023-02-22,mujer,54,13,0,griego
327,"Li, Hiro",2016-02-21,2019-04-14,otros,19,17,0,asiatico
328,"Garmendia, Benito",2024-03-10,,mujer,35,6,0,latino
329,"Jackson, Aisha",2005-01-30,2016-09-27,otros,40,18,0,afrodescendiente
330,"Washington, Aisha",2005-05-08,2008-02-19,varon,48,8,0,afrodescendiente
331,"Jackson, Jamal",1999-02-10,,varon,18,5,0,afrodescendiente
332,"Li, Mei",2003-06-11,,varon,24,12,0,asiatico
333,"Folch, Fortunata",2022-12-02,2024-03-13,mujer,24,5,0,latino
334,"Sharma, Arjun",1998-01-05,,mujer,49,12,0,indio
335,"Papadopoulos, Sofia",1992-11-06,,mujer,29,10,0,griego
336,"Crespi, Elisa",2000-12-09,,mujer,53,19,0,latino
337,"Smith, John",2014-07-22,,varon,35,20,0,blanco
338,"Riquelme, Flora",2013-06-11,2018-03-17,mujer,40,8,0,latino
339,"Cobo, Ibán",2015-04-20,2018-02-12,varon,41,2,0,latino
340,"Brown, Emily",2021-07-20,,varon,27,6,0,blanco
341,"Sharma, Arjun",1998-09-11,,varon,27,14,0,indio
342,"Brown, Emily",1994-10-26,2005-11-21,varon,38,16,0,blanco
343,"Santos, Xiomara",1991-09-15,,varon,33,17,0,latino
344,"Papadopoulos, Sofia",1994-10-06,,mujer,18,13,0,griego
345,"Li, Mei",1991-08-18,,varon,61,1,0,asiatico
346,"Papadopoulos, Nikos",1991-05-22,2015-04-04,mujer,43,14,0,griego
347,"Brown, Emily",1991-06-13,,otros,51,16,0,blanco
348,"Papadopoulos, Sofia",1997-01-31,,mujer,42,12,0,griego
349,"Brown, Michael",2016-06-13,,otros,19,10,0,blanco
350,"Rovira, Ale",1995-02-12,,varon,30,8,0,latino
351,"Papadopoulos, Sofia",2007-03-13,,otros,64,9,0,griego
352,"Jackson, Jamal",1982-09-16,,mujer,20,7,0,afrodescendiente
353,"Patel, Arjun",2020-05-26,,otros,29,5,0,indio
354,"Smith, John",1983-06-05,,otros,46,12,0,blanco
355,"Tanaka, Hiro",2013-09-29,2022-04-05,varon,67,13,0,asiatico
356,"Jackson, Jamal",1981-01-31,,mujer,63,14,0,afrodescendiente
357,"Brown, Michael",2003-08-27,,varon,36,11,0,blanco
358,"Mateos, Hernán",2015-07-11,,mujer,63,11,0,latino
359,"Patel, Arjun",2004-02-06,,mujer,59,10,0,indio
360,"Papadopoulos, Nikos",2021-08-05,2024-07-16,otros,31,4,0,griego
361,"Li, Hiro",2000-10-21,,mujer,38,20,0,asiatico
362,"Manzano, Juan Pablo",2011-06-03,,otros,60,16,0,latino
363,"Papadopoulos, Sofia",1997-05-17,,varon,44,14,0,griego
364,"Patel, Arjun",2000-04-12,,otros,54,11,0,indio
365,"Papadopoulos, Sofia",1996-07-03,2000-10-05,varon,56,17,0,griego
366,"Patel, Arjun",1996-11-01,,mujer,41,12,0,indio
367,"Llopis, Pío",2018-07-07,,mujer,31,18,0,latino
368,"Palacios, Aroa",2009-06-06,,otros,41,12,0,latino
369,"Carbó, Edu",2010-05-30,,otros,57,15,0,latino
370,"Washington, Jamal",1980-11-28,,varon,67,4,0,afrodescendiente
371,"Papadopoulos, Sofia",1995-08-11,,mujer,62,1,0,griego
372,"Sharma, Arjun",2000-05-07,,otros,19,20,0,indio
373,"Papadopoulos, Nikos",1987-05-18,2003-10-18,mujer,32,3,0,griego
374,"Papadopoulos, Nikos",2014-02-21,,mujer,40,3,0,griego
375,"Sharma, Arjun",2014-08-06,,varon,48,13,0,indio
376,"Brown, Michael",1993-03-25,1995-12-24,varon,57,2,0,blanco
377,"Baena, Lilia",1995-06-29,,varon,49,11,0,latino
378,"Patel, Arjun",1999-03-04,2001-08-09,varon,36,2,0,indio
379,"Peinado, Montserrat",2015-03-25,2024-06-22,varon,46,10,0,latino
380,"Alcalá, Ignacia",1989-12-03,,varon,65,13,0,latino
381,"Jackson, Aisha",2018-04-22,,mujer,38,3,0,afrodescendiente
382,"Patel, Rudra",2010-09-16,,otros,52,1,0,indio
